cod6;nome;Esperança de vida ao nascer 2010;Mortalidade infantil 2010;Mortalidade até 5 anos de idade 2010;IDHM 2010;Taxa de envelhecimento 2010;População em domicílios vulneráveis e com idoso 2010;Renda per capita 2010
130400;Silves;72.47;18.9;20.2;0.632;4.45;646;238.53
130406;Tabatinga;71.12;22.3;23.88;0.616;3.49;5798;338.4
130406;Tabatinga;74.1;16.2;18.7;0.704;8.37;213;625.39
130410;Tapauá;66.61;36.6;39.06;0.502;3.33;1406;193.97
130420;Tefé;73.04;17.5;18.74;0.639;3.88;4203;421.41
130423;Tonantins;71.74;20.7;22.14;0.548;3.27;1140;189.15
130426;Uarini;68.43;30.3;32.38;0.527;2.95;1020;223.11
130430;Urucará;70.26;24.7;26.44;0.62;4.93;1745;246.99
130440;Urucurituba;71.53;21.3;22.73;0.588;4.88;2053;227.55
140002;Amajari;73.9;15.3;16.32;0.484;3.88;914;121.32
140005;Alto Alegre;73.78;15.6;16.61;0.542;4;1607;201.32
140005;Alto Alegre;76.52;10.8;12.61;0.747;11.42;40;880.85
140005;Alto Alegre;74;16.3;18.89;0.7;13.82;129;560.3
140010;Boa Vista;72.73;21.33;17.19;0.649;9.27;316;314.11
140010;Boa Vista;73.95;15.39;16.16;0.752;3.29;7874;786.55
140015;Bonfim;75.01;15.3;17.81;0.637;13.74;400;512.94
140015;Bonfim;73.52;16.1;17.21;0.626;4.19;1123;329.22
140017;Cantá;73.19;16.8;17.99;0.619;4.24;722;297.59
140020;Caracaraí;71.77;20.3;21.65;0.624;3.77;1112;336.05
140023;Caroebe;72.48;18.5;19.77;0.639;3.93;241;334.97
140028;Iracema;68.97;29.7;31.86;0.652;9.51;1013;328.61
140028;Iracema;73.61;15.9;16.99;0.582;3.68;508;261.18
140030;Mucajaí;73.79;15.5;16.58;0.665;4.54;764;487.66
140040;Normandia;73.06;17.2;18.32;0.594;3.3;865;203.43
140045;Pacaraima;72.29;19;20.27;0.65;3;706;388.35
140047;Rorainópolis;72.86;17.6;18.8;0.619;3.16;1259;284.22
140050;São João da Baliza;71.81;20.2;21.53;0.655;3.78;189;365.67
140060;São Luiz;72.29;19;20.27;0.649;3.76;521;344.73
140070;Uiramutã;70.95;22.4;23.93;0.453;2.88;754;123.16
150010;Abaetetuba;72.89;19;20.42;0.628;4.91;12467;293.01
150013;Abel Figueiredo;73;18.35;19.73;0.622;5.31;347;390.12
150020;Acará;70.44;25.6;27.51;0.506;4.75;4491;199.34
150030;Afuá;71.43;22.8;24.51;0.489;3.81;2606;163.98
150034;Água Azul do Norte;72.83;19.1;20.58;0.564;2.77;841;266.02
150040;Alenquer;71.72;22;23.67;0.564;5.76;5509;215.33
150050;Almeirim;73.55;17.4;18.72;0.642;3.72;2394;484.16
150060;Altamira;73.64;17.27;18.55;0.665;4.39;5048;492.05
150070;Anajás;71.43;22.8;24.51;0.484;3.49;2404;186.88
150080;Ananindeua;74.24;17.17;18.46;0.718;4.06;18062;564.76
150085;Anapu;72.25;20.6;22.17;0.548;3.18;1413;266.28
150095;Aurora do Pará;71.38;22.9;24.65;0.519;4.57;3171;184.39
150100;Aveiro;69.87;27.3;29.36;0.541;5.17;2252;148.71
150110;Bagre;71.59;22.3;24.04;0.471;3.09;2336;159.41
150120;Baião;71.18;23.5;25.26;0.578;4.39;2074;226.99
150125;Bannach;72.06;21.1;22.7;0.594;4.69;193;416.31
150130;Barcarena;73.04;18.6;20.04;0.662;3.51;4614;437.43
150140;Belém;70.86;26.8;29.22;0.593;8.79;287;309.5
150140;Belém;74.33;16.06;17.25;0.746;6.3;64475;853.82
150140;Belém;70.55;25.7;27.74;0.592;11.91;2380;256.2
150145;Belterra;71.51;22.5;24.26;0.588;6.53;1652;241.57
150150;Benevides;72.9;18.9;20.39;0.665;4.46;3263;385.83
150157;Bom Jesus do Tocantins;71.61;22.3;23.98;0.589;5.18;1017;337.28
150157;Bom Jesus do Tocantins;74.98;14;15.08;0.66;5.41;163;381.43
150160;Bonito;66.12;40.8;44;0.561;4.66;663;249
150160;Bonito;74.86;18;21.67;0.67;5.95;668;679.03
150160;Bonito;71.22;23.3;25.13;0.546;4.56;713;218.05
150160;Bonito;70.26;26.1;28.15;0.561;8.44;3032;258.52
150172;Brasil Novo;73.55;17.4;18.72;0.613;5.47;905;408.55
150175;Brejo Grande do Araguaia;69.57;28.2;30.35;0.591;5.32;646;310.08
150178;Breu Branco;71.87;21.6;23.24;0.568;3.74;3095;252.31
150180;Breves;71.65;22.2;23.86;0.503;4.21;11040;209.14
150190;Bujaru;71.76;21.9;23.56;0.552;5.08;3017;174.18
150195;Cachoeira do Piriá;71.73;22;23.65;0.473;2.61;1688;130.4
150200;Cachoeira do Arari;71.65;22.2;23.86;0.546;5.96;2579;209.79
150210;Cametá;70.21;26.2;28.26;0.577;5.29;15563;226.99
150215;Canaã dos Carajás;73.06;19.88;21.38;0.673;2.86;725;517.33
150220;Capanema;72.62;19.6;21.14;0.655;6.23;5671;356.27
150220;Capanema;73.04;15.5;18.05;0.706;9.65;300;701.11
150240;Castanhal;72.97;17.29;18.59;0.673;4.82;9633;467.32
150250;Chaves;71.15;23.5;25.33;0.453;4.3;2621;198.83
150260;Colares;70.8;24.5;26.4;0.602;7.29;1450;231.98
150275;Concórdia do Pará;69.45;28.6;30.73;0.566;4.8;2293;260.68
150276;Cumaru do Norte;72.71;19.4;20.9;0.55;2.41;494;417.06
150277;Curionópolis;73.53;17.4;18.78;0.636;6.53;1810;319.35
150280;Curralinho;71.15;23.5;25.33;0.502;3.8;1813;188.88
150285;Curuá;71.8;21.7;23.42;0.578;4.51;1244;180.94
150293;Dom Eliseu;70.8;24.5;26.4;0.615;3.14;2725;348.04
150300;Faro;70.35;25.8;27.8;0.563;5.22;923;180.47
150304;Floresta do Araguaia;72.52;19.9;21.42;0.583;4.48;869;283.57
150307;Garrafão do Norte;70.75;24.7;26.56;0.526;4.68;1831;229.91
150309;Goianésia do Pará;69.58;28.2;30.31;0.56;3.36;1803;303.9
150310;Gurupá;71.59;22.3;24.04;0.509;4.09;2925;191.06
150330;Igarapé-Miri;71.18;23.5;25.26;0.547;5.19;7462;196.34
150340;Inhangapi;69.88;27.2;29.31;0.572;5.76;817;245.7
150345;Ipixuna do Pará;70.44;25.6;27.51;0.489;2.76;3716;188.48
150350;Irituia;70.75;24.7;26.56;0.559;6.25;2640;224.25
150360;Itaituba;72.97;17.29;18.59;0.64;4;6476;440.6
150370;Itupiranga;69.73;27.7;29.8;0.528;4.25;3638;234.25
150375;Jacareacanga;73;18.35;19.81;0.505;2.17;481;289.16
150380;Jacundá;70.14;26.5;28.48;0.622;4.19;3007;399.45
150390;Juruti;70.35;25.8;27.8;0.592;4.36;4419;241.39
150400;Limoeiro do Ajuru;70.21;26.2;28.26;0.541;4.11;2144;172.12
150405;Mãe do Rio;70.75;24.7;26.56;0.599;5.62;2586;367.01
150410;Magalhães Barata;73.06;19.88;21.38;0.597;7.52;999;208.43
150420;Marabá;72.09;21.44;23.05;0.668;3.67;11198;527.86
150430;Maracanã;70.85;24.4;26.23;0.57;7.29;4189;221.89
150440;Marapanim;70.61;25.1;26.98;0.609;7.92;2418;277.01
150442;Marituba;72.6;19.7;21.21;0.676;3.45;4361;382.02
150445;Medicilândia;72.99;18.7;20.16;0.582;3.87;1243;345.44
150460;Mocajuba;70.21;26.2;28.26;0.575;5.56;3625;229.18
150470;Moju;70.44;25.6;27.51;0.547;3.9;5624;291.67
150480;Monte Alegre;70.86;24.4;26.21;0.589;6.23;5548;231.65
150480;Monte Alegre;71.18;23.3;25.01;0.609;8.03;1631;292.15
150490;Muaná;71.51;22.5;24.26;0.547;4.19;3550;230.14
150497;Nova Ipixuna;70.98;24;25.85;0.581;4.96;1096;315.1
150500;Nova Timboteua;72.43;20.1;21.67;0.609;7.51;1036;267.59
150503;Novo Progresso;74.66;14.9;16.02;0.673;2.27;220;658.31
150506;Novo Repartimento;69.48;28.5;30.64;0.537;3.65;3798;256.37
150510;Óbidos;70.35;25.8;27.8;0.594;6.03;5397;255.03
150520;Oeiras do Pará;70.21;26.2;28.26;0.507;3.9;1835;181.86
150530;Oriximiná;71.66;22.1;23.84;0.623;4.71;4914;332.29
150540;Ourém;68.63;31.2;33.56;0.568;6.22;1770;285.61
150543;Ourilândia do Norte;72.72;19.4;20.88;0.624;2.86;739;466.52
150548;Pacajá;69.78;27.6;29.64;0.515;4.09;2921;231.91
150549;Palestina do Pará;70.63;25;26.93;0.589;5.91;709;284.54
150550;Paragominas;71.87;23.14;24.88;0.645;2.69;3197;507.16
150553;Parauapebas;73.55;17.4;18.72;0.715;2.09;3656;627.61
150555;Pau D'Arco;69.86;27.3;29.37;0.574;5.85;432;279.72
150555;Pau D'Arco;72.51;19.7;21.17;0.661;6.36;435;380.41
150560;Peixe-Boi;70.23;26.2;28.19;0.581;7.42;761;234.4
150565;Placas;71.18;23.5;25.26;0.552;3.1;1183;231.94
150570;Ponta de Pedras;71.38;22.9;24.65;0.562;4.92;2864;257.4
150580;Portel;71.04;23.8;25.67;0.483;3.32;5607;195.22
150590;Porto de Moz;71.2;23.4;25.2;0.503;3.15;3115;193.52
